x,y
310,662
311,662
312,662
313,662
314,662
315,662
316,662
307,663
308,663
309,663
310,663
311,663
312,663
313,663
314,663
315,663
316,663
317,663
305,664
306,664
307,664
308,664
309,664
310,664
315,664
316,664
317,664
305,665
306,665
307,665
308,665
316,665
317,665
305,666
306,666
307,666
316,666
317,666
305,667
306,667
307,667
316,667
317,667
304,668
305,668
306,668
307,668
316,668
317,668
295,669
296,669
297,669
298,669
304,669
305,669
306,669
307,669
316,669
317,669
294,670
295,670
296,670
297,670
298,670
304,670
305,670
306,670
307,670
308,670
309,670
315,670
316,670
317,670
293,671
294,671
295,671
296,671
297,671
298,671
305,671
306,671
307,671
308,671
309,671
310,671
311,671
312,671
314,671
315,671
316,671
292,672
293,672
294,672
295,672
296,672
297,672
308,672
309,672
310,672
311,672
312,672
313,672
314,672
315,672
316,672
291,673
292,673
293,673
294,673
295,673
296,673
297,673
311,673
312,673
313,673
314,673
315,673
291,674
292,674
293,674
294,674
295,674
296,674
291,675
292,675
293,675
294,675
295,675
351,676
352,676
353,676
348,677
349,677
350,677
351,677
352,677
353,677
354,677
345,678
346,678
347,678
348,678
349,678
350,678
351,678
352,678
353,678
354,678
344,679
345,679
346,679
347,679
348,679
349,679
353,679
354,679
355,679
344,680
345,680
346,680
347,680
353,680
354,680
355,680
344,681
345,681
346,681
354,681
355,681
356,681
343,682
344,682
345,682
354,682
355,682
356,682
343,683
344,683
345,683
355,683
356,683
344,684
345,684
346,684
355,684
356,684
357,684
345,685
346,685
347,685
356,685
357,685
358,685
345,686
346,686
347,686
348,686
356,686
357,686
358,686
359,686
360,686
346,687
347,687
348,687
349,687
353,687
358,687
359,687
360,687
361,687
362,687
347,688
348,688
349,688
350,688
351,688
352,688
353,688
354,688
355,688
358,688
359,688
360,688
361,688
362,688
347,689
348,689
349,689
350,689
351,689
352,689
353,689
354,689
355,689
356,689
357,689
358,689
359,689
360,689
361,689
362,689
354,690
355,690
356,690
357,690
358,690
359,690
360,690
371,690
372,690
370,691
371,691
372,691
373,691
374,691
375,691
376,691
377,691
378,691
379,691
380,691
381,691
382,691
383,691
384,691
369,692
370,692
371,692
372,692
373,692
374,692
375,692
376,692
377,692
378,692
379,692
380,692
381,692
382,692
383,692
384,692
385,692
386,692
369,693
370,693
371,693
372,693
373,693
374,693
375,693
376,693
377,693
378,693
382,693
383,693
384,693
385,693
386,693
369,694
370,694
371,694
372,694
373,694
374,694
375,694
376,694
377,694
378,694
379,694
383,694
384,694
385,694
386,694
388,694
389,694
370,695
371,695
372,695
373,695
374,695
375,695
376,695
377,695
378,695
379,695
380,695
381,695
382,695
383,695
384,695
385,695
386,695
387,695
388,695
389,695
390,695
373,696
374,696
375,696
376,696
377,696
378,696
379,696
380,696
381,696
382,696
383,696
384,696
385,696
386,696
387,696
388,696
389,696
390,696
391,696
392,696
378,697
379,697
380,697
381,697
382,697
383,697
386,697
387,697
388,697
389,697
390,697
391,697
392,697
393,697
394,697
