x,y
849,464
850,464
851,464
839,465
840,465
841,465
842,465
843,465
844,465
845,465
846,465
847,465
848,465
849,465
850,465
851,465
852,465
829,466
830,466
831,466
832,466
833,466
834,466
835,466
836,466
837,466
838,466
839,466
840,466
841,466
842,466
843,466
844,466
845,466
846,466
847,466
848,466
849,466
850,466
851,466
852,466
853,466
815,467
816,467
817,467
818,467
819,467
820,467
821,467
822,467
823,467
824,467
825,467
826,467
827,467
828,467
829,467
830,467
831,467
832,467
833,467
834,467
835,467
836,467
837,467
838,467
839,467
840,467
841,467
842,467
843,467
844,467
845,467
846,467
847,467
848,467
849,467
850,467
851,467
852,467
853,467
803,468
804,468
805,468
806,468
807,468
808,468
809,468
810,468
811,468
812,468
813,468
814,468
815,468
816,468
817,468
818,468
819,468
820,468
821,468
822,468
823,468
824,468
825,468
826,468
827,468
828,468
829,468
830,468
831,468
832,468
833,468
834,468
835,468
836,468
837,468
838,468
839,468
851,468
852,468
853,468
796,469
797,469
798,469
799,469
800,469
801,469
802,469
803,469
804,469
805,469
806,469
807,469
808,469
809,469
810,469
811,469
812,469
813,469
814,469
815,469
816,469
817,469
818,469
819,469
820,469
821,469
822,469
823,469
851,469
852,469
853,469
854,469
795,470
796,470
797,470
798,470
799,470
800,470
801,470
802,470
803,470
804,470
805,470
806,470
807,470
808,470
809,470
810,470
811,470
851,470
852,470
853,470
854,470
795,471
796,471
797,471
798,471
799,471
851,471
852,471
853,471
854,471
795,472
796,472
797,472
852,472
853,472
854,472
795,473
796,473
797,473
852,473
853,473
854,473
795,474
796,474
797,474
852,474
853,474
854,474
855,474
795,475
796,475
797,475
853,475
854,475
855,475
795,476
796,476
797,476
853,476
854,476
855,476
795,477
796,477
797,477
853,477
854,477
855,477
795,478
796,478
797,478
854,478
855,478
856,478
795,479
796,479
797,479
854,479
855,479
856,479
795,480
796,480
797,480
855,480
856,480
795,481
796,481
797,481
855,481
856,481
857,481
795,482
796,482
797,482
855,482
856,482
857,482
795,483
796,483
797,483
856,483
857,483
858,483
795,484
796,484
797,484
856,484
857,484
858,484
795,485
796,485
797,485
857,485
858,485
795,486
796,486
797,486
857,486
858,486
859,486
795,487
796,487
797,487
857,487
858,487
859,487
795,488
796,488
797,488
857,488
858,488
859,488
795,489
796,489
797,489
857,489
858,489
859,489
795,490
796,490
797,490
858,490
859,490
860,490
795,491
796,491
797,491
858,491
859,491
860,491
795,492
796,492
797,492
858,492
859,492
860,492
795,493
796,493
797,493
859,493
860,493
795,494
796,494
