x,y
936,448
937,448
938,448
939,448
940,448
941,448
942,448
943,448
944,448
945,448
946,448
947,448
948,448
949,448
950,448
951,448
952,448
953,448
954,448
955,448
956,448
925,449
926,449
927,449
928,449
929,449
930,449
931,449
932,449
933,449
934,449
935,449
936,449
937,449
938,449
939,449
940,449
941,449
942,449
943,449
944,449
945,449
946,449
947,449
948,449
949,449
950,449
951,449
952,449
953,449
954,449
955,449
956,449
957,449
923,450
924,450
925,450
926,450
927,450
928,450
929,450
930,450
931,450
932,450
933,450
934,450
935,450
936,450
937,450
938,450
939,450
940,450
941,450
942,450
943,450
944,450
945,450
946,450
947,450
948,450
949,450
950,450
951,450
952,450
953,450
954,450
955,450
956,450
957,450
958,450
921,451
922,451
923,451
924,451
925,451
926,451
927,451
928,451
929,451
930,451
931,451
956,451
957,451
958,451
959,451
918,452
919,452
920,452
921,452
922,452
923,452
924,452
957,452
958,452
959,452
960,452
975,452
976,452
977,452
978,452
979,452
980,452
981,452
982,452
983,452
984,452
985,452
916,453
917,453
918,453
919,453
920,453
921,453
922,453
958,453
959,453
960,453
961,453
967,453
968,453
969,453
970,453
971,453
972,453
973,453
974,453
975,453
976,453
977,453
978,453
979,453
980,453
981,453
982,453
983,453
984,453
985,453
986,453
987,453
914,454
915,454
916,454
917,454
918,454
919,454
920,454
959,454
960,454
961,454
962,454
963,454
964,454
965,454
966,454
967,454
968,454
969,454
970,454
971,454
972,454
973,454
974,454
975,454
976,454
977,454
978,454
979,454
980,454
981,454
982,454
983,454
984,454
985,454
986,454
987,454
988,454
989,454
990,454
912,455
913,455
914,455
915,455
916,455
917,455
959,455
960,455
961,455
962,455
963,455
964,455
965,455
966,455
967,455
968,455
969,455
970,455
971,455
972,455
985,455
986,455
987,455
988,455
989,455
990,455
991,455
909,456
910,456
911,456
912,456
913,456
914,456
915,456
960,456
961,456
962,456
988,456
989,456
990,456
991,456
992,456
993,456
906,457
907,457
908,457
909,457
910,457
911,457
912,457
913,457
990,457
991,457
992,457
993,457
994,457
995,457
905,458
906,458
907,458
908,458
909,458
910,458
911,458
992,458
993,458
994,458
995,458
996,458
905,459
906,459
907,459
908,459
993,459
994,459
995,459
996,459
997,459
998,459
904,460
905,460
906,460
907,460
908,460
995,460
996,460
997,460
998,460
999,460
903,461
904,461
905,461
906,461
907,461
996,461
997,461
998,461
999,461
1000,461
903,462
