x,y
229,48
230,48
231,48
227,49
228,49
229,49
230,49
231,49
232,49
233,49
234,49
235,49
227,50
228,50
229,50
230,50
231,50
232,50
233,50
234,50
235,50
236,50
237,50
238,50
239,50
240,50
241,50
227,51
228,51
229,51
232,51
233,51
234,51
235,51
236,51
237,51
238,51
239,51
240,51
241,51
242,51
243,51
244,51
245,51
227,52
228,52
240,52
241,52
242,52
243,52
244,52
245,52
246,52
226,53
227,53
228,53
243,53
244,53
245,53
246,53
226,54
227,54
228,54
244,54
245,54
246,54
226,55
227,55
228,55
244,55
245,55
225,56
226,56
227,56
228,56
243,56
244,56
245,56
225,57
226,57
227,57
243,57
244,57
245,57
224,58
225,58
226,58
227,58
243,58
244,58
245,58
224,59
225,59
226,59
227,59
243,59
244,59
245,59
224,60
225,60
226,60
227,60
243,60
244,60
224,61
225,61
226,61
242,61
243,61
244,61
224,62
225,62
226,62
242,62
243,62
244,62
223,63
224,63
225,63
226,63
242,63
243,63
244,63
223,64
224,64
225,64
226,64
242,64
243,64
244,64
223,65
224,65
225,65
226,65
242,65
243,65
223,66
224,66
225,66
226,66
241,66
242,66
243,66
223,67
224,67
225,67
241,67
242,67
243,67
222,68
223,68
224,68
225,68
241,68
242,68
243,68
222,69
223,69
224,69
225,69
241,69
242,69
243,69
222,70
223,70
224,70
241,70
242,70
222,71
223,71
224,71
241,71
242,71
221,72
222,72
223,72
224,72
240,72
241,72
242,72
221,73
222,73
223,73
240,73
241,73
242,73
221,74
222,74
223,74
240,74
241,74
242,74
221,75
222,75
223,75
239,75
240,75
241,75
221,76
222,76
239,76
240,76
241,76
221,77
222,77
239,77
240,77
241,77
220,78
221,78
222,78
239,78
240,78
241,78
220,79
221,79
222,79
238,79
239,79
240,79
241,79
220,80
221,80
222,80
239,80
240,80
241,80
220,81
221,81
222,81
240,81
241,81
242,81
220,82
221,82
240,82
241,82
242,82
219,83
220,83
221,83
241,83
242,83
243,83
219,84
220,84
221,84
241,84
242,84
243,84
219,85
220,85
221,85
242,85
243,85
244,85
219,86
220,86
242,86
243,86
244,86
218,87
219,87
220,87
243,87
244,87
245,87
218,88
219,88
220,88
243,88
244,88
245,88
218,89
219,89
220,89
243,89
244,89
245,89
218,90
219,90
220,90
243,90
244,90
245,90
218,91
219,91
242,91
243,91
244,91
218,92
219,92
242,92
243,92
244,92
217,93
218,93
219,93
242,93
243,93
244,93
217,94
218,94
219,94
241,94
242,94
243,94
217,95
218,95
219,95
241,95
242,95
243,95
244,95
217,96
218,96
219,96
242,96
243,96
244,96
216,97
217,97
218,97
242,97
243,97
244,97
216,98
217,98
218,98
243,98
244,98
245,98
216,99
217,99
218,99
243,99
244,99
245,99
246,99
216,100
217,100
218,100
244,100
245,100
246,100
247,100
248,100
216,101
217,101
245,101
246,101
247,101
248,101
249,101
215,102
216,102
217,102
246,102
247,102
248,102
249,102
215,103
216,103
217,103
247,103
248,103
249,103
250,103
215,104
216,104
217,104
248,104
249,104
250,104
215,105
216,105
217,105
248,105
249,105
250,105
251,105
215,106
216,106
249,106
250,106
251,106
252,106
215,107
216,107
249,107
250,107
251,107
252,107
214,108
215,108
216,108
250,108
251,108
252,108
253,108
214,109
215,109
216,109
250,109
251,109
252,109
253,109
214,110
215,110
216,110
250,110
251,110
252,110
253,110
214,111
215,111
216,111
251,111
252,111
253,111
254,111
214,112
215,112
251,112
252,112
253,112
254,112
213,113
214,113
215,113
252,113
253,113
254,113
255,113
213,114
214,114
215,114
253,114
254,114
255,114
213,115
214,115
215,115
254,115
255,115
256,115
213,116
214,116
254,116
255,116
256,116
257,116
212,117
213,117
214,117
255,117
256,117
257,117
212,118
213,118
214,118
255,118
256,118
257,118
258,118
