x,y
1092,129
1093,129
1094,129
1095,129
1096,129
1097,129
1091,130
1092,130
1093,130
1094,130
1095,130
1096,130
1097,130
1098,130
1091,131
1092,131
1093,131
1094,131
1095,131
1096,131
1097,131
1098,131
1099,131
1090,132
1091,132
1092,132
1093,132
1094,132
1095,132
1096,132
1097,132
1098,132
1099,132
1090,133
1091,133
1092,133
1094,133
1095,133
1096,133
1097,133
1098,133
1099,133
1090,134
1091,134
1096,134
1097,134
1098,134
1099,134
1090,135
1091,135
1096,135
1097,135
1098,135
1099,135
1090,136
1091,136
1097,136
1098,136
1099,136
1100,136
1090,137
1091,137
1097,137
1098,137
1099,137
1100,137
1090,138
1091,138
1098,138
1099,138
1100,138
1090,139
1091,139
1098,139
1099,139
1100,139
1101,139
1090,140
1091,140
1099,140
1100,140
1101,140
1090,141
1091,141
1099,141
1100,141
1101,141
1090,142
1091,142
1100,142
1101,142
1090,143
1091,143
1100,143
1101,143
1102,143
1090,144
1091,144
1100,144
1101,144
1102,144
1090,145
1091,145
1100,145
1101,145
1102,145
1090,146
1091,146
1092,146
1100,146
1101,146
1102,146
1090,147
1091,147
1092,147
1101,147
1102,147
1103,147
1091,148
1092,148
1093,148
1101,148
1102,148
1103,148
1091,149
1092,149
1093,149
1094,149
1101,149
1102,149
1103,149
1092,150
1093,150
1094,150
1102,150
1103,150
1104,150
1092,151
1093,151
1094,151
1102,151
1103,151
1104,151
1092,152
1093,152
1094,152
1103,152
1104,152
1092,153
1093,153
1094,153
1103,153
1104,153
1105,153
1092,154
1093,154
1094,154
1103,154
1104,154
1105,154
1091,155
1092,155
1093,155
1103,155
1104,155
1105,155
1091,156
1092,156
1093,156
1104,156
1105,156
1090,157
1091,157
1092,157
1104,157
1105,157
1106,157
1090,158
1091,158
1092,158
1104,158
1105,158
1106,158
1089,159
1090,159
1091,159
1092,159
1104,159
1105,159
1106,159
1088,160
1089,160
1090,160
1091,160
1105,160
1106,160
1107,160
1087,161
1088,161
1089,161
1090,161
1105,161
1106,161
1107,161
1085,162
1086,162
1087,162
1088,162
1089,162
1105,162
1106,162
1107,162
1084,163
1085,163
1086,163
1087,163
1088,163
1106,163
1107,163
1084,164
1085,164
1086,164
1087,164
1106,164
1107,164
1108,164
1085,165
1086,165
1087,165
1088,165
1106,165
1107,165
1108,165
1086,166
1087,166
1088,166
1106,166
1107,166
1108,166
1086,167
1087,167
1088,167
1107,167
1108,167
1109,167
1086,168
1087,168
1088,168
1107,168
1108,168
1109,168
1086,169
1087,169
1088,169
1107,169
1108,169
1109,169
1086,170
1087,170
1088,170
1108,170
1109,170
1110,170
1086,171
1087,171
1088,171
1108,171
1109,171
1110,171
1111,171
1086,172
1087,172
1088,172
1108,172
1109,172
1110,172
1111,172
1086,173
1087,173
1088,173
1108,173
1109,173
1110,173
1111,173
1086,174
1087,174
1088,174
1109,174
1110,174
1111,174
1086,175
1087,175
1088,175
1109,175
1110,175
1111,175
1112,175
1086,176
1087,176
1088,176
1109,176
1110,176
1111,176
1112,176
1086,177
1087,177
1088,177
1109,177
1110,177
1111,177
1112,177
1086,178
1087,178
1088,178
1110,178
1111,178
1112,178
1086,179
1087,179
1088,179
1110,179
1111,179
1112,179
1113,179
1086,180
1087,180
1110,180
1111,180
1112,180
1113,180
1085,181
1086,181
1087,181
1111,181
1112,181
1113,181
1114,181
1115,181
1085,182
1086,182
1087,182
1112,182
1113,182
1114,182
1115,182
1116,182
1117,182
1085,183
1086,183
1087,183
1113,183
1114,183
1115,183
1116,183
1117,183
1118,183
1085,184
1086,184
1087,184
1116,184
1117,184
1118,184
1085,185
1086,185
1087,185
1116,185
1117,185
1118,185
1085,186
1086,186
1087,186
1116,186
1117,186
1118,186
1119,186
1085,187
1086,187
1087,187
1116,187
1117,187
1118,187
1119,187
1120,187
1085,188
1086,188
1087,188
1117,188
1118,188
1119,188
1120,188
1085,189
1086,189
1087,189
1118,189
1119,189
1120,189
1085,190
1086,190
1087,190
1119,190
1120,190
1085,191
1086,191
1087,191
1119,191
1120,191
1085,192
1086,192
1087,192
1118,192
1119,192
1120,192
1085,193
1086,193
1087,193
1117,193
1118,193
1119,193
1085,194
1086,194
1087,194
1115,194
1116,194
1117,194
1118,194
1119,194
1085,195
1086,195
1087,195
1113,195
1114,195
1115,195
1116,195
1117,195
1118,195
1085,196
1086,196
1087,196
1088,196
1112,196
1113,196
1114,196
1115,196
1116,196
1086,197
1087,197
1088,197
1111,197
1112,197
1113,197
1114,197
1086,198
1087,198
1088,198
1109,198
1110,198
1111,198
1112,198
1113,198
1086,199
1087,199
1088,199
1108,199
1109,199
1110,199
1111,199
1112,199
1113,199
1086,200
1087,200
1088,200
1105,200
1106,200
1107,200
1108,200
1109,200
1110,200
1111,200
1112,200
1113,200
1086,201
1087,201
1088,201
1101,201
1102,201
1103,201
1104,201
1105,201
1106,201
1107,201
1108,201
1109,201
1110,201
1111,201
1086,202
1087,202
1096,202
1097,202
1098,202
1099,202
1100,202
1101,202
1102,202
1103,202
1104,202
1105,202
1106,202
1107,202
1086,203
1087,203
1093,203
1094,203
1095,203
1096,203
1097,203
1098,203
1099,203
1100,203
1101,203
1102,203
1103,203
1104,203
1086,204
1087,204
1088,204
1089,204
1090,204
1091,204
1092,204
1093,204
1094,204
1095,204
1096,204
1097,204
1098,204
1099,204
1086,205
1087,205
1088,205
1089,205
1090,205
1091,205
1092,205
1093,205
1094,205
1095,205
1086,206
1087,206
1088,206
1089,206
1090,206
1091,206
1086,207
1087,207
