x,y
950,570
951,570
952,570
953,570
954,570
955,570
956,570
949,571
950,571
951,571
952,571
953,571
954,571
955,571
956,571
957,571
958,571
959,571
960,571
961,571
962,571
963,571
964,571
965,571
949,572
950,572
951,572
952,572
953,572
954,572
955,572
956,572
957,572
958,572
959,572
960,572
961,572
962,572
963,572
964,572
965,572
948,573
949,573
950,573
951,573
953,573
954,573
955,573
956,573
957,573
958,573
959,573
960,573
961,573
962,573
963,573
964,573
965,573
864,574
865,574
866,574
867,574
868,574
869,574
870,574
871,574
872,574
873,574
874,574
948,574
949,574
950,574
963,574
964,574
965,574
856,575
857,575
858,575
859,575
860,575
861,575
862,575
863,575
864,575
865,575
866,575
867,575
868,575
869,575
870,575
871,575
872,575
873,575
874,575
875,575
876,575
877,575
949,575
950,575
951,575
964,575
965,575
966,575
847,576
848,576
849,576
850,576
851,576
852,576
853,576
854,576
855,576
856,576
857,576
858,576
859,576
860,576
861,576
862,576
863,576
864,576
865,576
866,576
867,576
868,576
869,576
870,576
871,576
872,576
873,576
874,576
875,576
876,576
877,576
878,576
949,576
950,576
951,576
964,576
965,576
966,576
836,577
837,577
838,577
839,577
840,577
841,577
842,577
843,577
844,577
845,577
846,577
847,577
848,577
849,577
850,577
851,577
852,577
853,577
854,577
855,577
856,577
857,577
858,577
859,577
860,577
861,577
876,577
877,577
878,577
879,577
949,577
950,577
951,577
965,577
966,577
828,578
829,578
830,578
831,578
832,578
833,578
834,578
835,578
836,578
837,578
838,578
839,578
840,578
841,578
842,578
843,578
844,578
845,578
846,578
847,578
848,578
849,578
850,578
851,578
852,578
877,578
878,578
879,578
880,578
942,578
943,578
944,578
945,578
950,578
951,578
952,578
965,578
966,578
820,579
821,579
822,579
823,579
824,579
825,579
826,579
827,579
828,579
829,579
830,579
831,579
832,579
833,579
834,579
835,579
836,579
837,579
838,579
839,579
840,579
841,579
842,579
878,579
879,579
880,579
881,579
930,579
931,579
932,579
933,579
934,579
935,579
936,579
937,579
938,579
939,579
940,579
941,579
942,579
943,579
944,579
945,579
946,579
947,579
948,579
950,579
951,579
952,579
965,579
966,579
967,579
815,580
816,580
817,580
818,580
819,580
820,580
821,580
822,580
823,580
824,580
825,580
826,580
827,580
828,580
829,580
830,580
831,580
832,580
878,580
879,580
880,580
881,580
882,580
910,580
911,580
912,580
913,580
914,580
915,580
916,580
917,580
918,580
919,580
920,580
921,580
922,580
923,580
924,580
925,580
926,580
927,580
928,580
929,580
930,580
931,580
932,580
933,580
934,580
935,580
936,580
937,580
938,580
939,580
940,580
941,580
942,580
943,580
944,580
945,580
946,580
947,580
948,580
950,580
951,580
952,580
966,580
967,580
815,581
816,581
817,581
818,581
819,581
820,581
821,581
822,581
823,581
824,581
825,581
879,581
880,581
881,581
882,581
883,581
884,581
885,581
886,581
887,581
888,581
889,581
890,581
891,581
892,581
893,581
894,581
895,581
896,581
897,581
898,581
899,581
900,581
901,581
902,581
903,581
904,581
905,581
906,581
907,581
908,581
909,581
910,581
911,581
912,581
913,581
914,581
915,581
916,581
917,581
918,581
919,581
920,581
921,581
922,581
923,581
924,581
925,581
926,581
927,581
928,581
929,581
930,581
931,581
932,581
933,581
934,581
935,581
936,581
937,581
938,581
939,581
945,581
946,581
947,581
948,581
949,581
950,581
951,581
952,581
966,581
967,581
968,581
815,582
816,582
817,582
881,582
882,582
883,582
884,582
885,582
886,582
887,582
888,582
889,582
890,582
891,582
892,582
893,582
894,582
895,582
896,582
897,582
898,582
899,582
900,582
901,582
902,582
903,582
904,582
905,582
906,582
907,582
908,582
909,582
910,582
911,582
912,582
913,582
914,582
915,582
916,582
917,582
918,582
919,582
920,582
921,582
922,582
923,582
946,582
947,582
948,582
949,582
950,582
951,582
952,582
966,582
967,582
968,582
815,583
816,583
882,583
883,583
884,583
885,583
886,583
887,583
888,583
889,583
890,583
891,583
892,583
893,583
894,583
895,583
896,583
897,583
898,583
899,583
900,583
901,583
902,583
903,583
904,583
946,583
947,583
948,583
949,583
950,583
951,583
952,583
967,583
968,583
815,584
816,584
817,584
946,584
947,584
948,584
949,584
950,584
951,584
967,584
968,584
815,585
816,585
817,585
947,585
948,585
949,585
950,585
951,585
967,585
968,585
969,585
815,586
816,586
817,586
818,586
967,586
968,586
969,586
816,587
817,587
818,587
819,587
968,587
969,587
817,588
818,588
819,588
820,588
968,588
969,588
970,588
818,589
819,589
820,589
821,589
968,589
969,589
970,589
819,590
820,590
821,590
969,590
970,590
971,590
820,591
821,591
822,591
969,591
970,591
971,591
820,592
821,592
822,592
970,592
971,592
820,593
821,593
822,593
970,593
971,593
972,593
820,594
821,594
822,594
839,594
840,594
841,594
842,594
843,594
844,594
845,594
846,594
847,594
848,594
849,594
971,594
972,594
820,595
821,595
822,595
832,595
833,595
834,595
835,595
836,595
837,595
838,595
839,595
840,595
841,595
842,595
843,595
844,595
845,595
846,595
847,595
848,595
849,595
850,595
851,595
852,595
853,595
854,595
971,595
972,595
973,595
820,596
821,596
822,596
828,596
829,596
830,596
831,596
832,596
833,596
834,596
835,596
836,596
837,596
838,596
839,596
840,596
841,596
842,596
848,596
849,596
850,596
851,596
852,596
853,596
854,596
855,596
856,596
857,596
897,596
898,596
899,596
900,596
901,596
902,596
903,596
904,596
905,596
906,596
907,596
908,596
972,596
973,596
974,596
820,597
821,597
822,597
826,597
827,597
828,597
829,597
830,597
831,597
832,597
833,597
834,597
835,597
852,597
853,597
854,597
855,597
856,597
857,597
858,597
859,597
896,597
897,597
898,597
899,597
900,597
901,597
902,597
903,597
904,597
905,597
906,597
907,597
908,597
909,597
972,597
973,597
974,597
975,597
820,598
821,598
822,598
823,598
824,598
825,598
826,598
827,598
828,598
829,598
830,598
831,598
832,598
854,598
855,598
856,598
857,598
858,598
859,598
860,598
896,598
897,598
898,598
899,598
900,598
901,598
902,598
903,598
904,598
905,598
906,598
907,598
908,598
909,598
910,598
911,598
972,598
973,598
974,598
975,598
820,599
821,599
822,599
